Year,Team,League,Div,WAA,PWAA,PosWAA
2015,ARI,NL,NLW,4.7,-6.3,11
2015,ATL,NL,NLE,-12.5,-6.0,-6.5
2015,BAL,AL,ALE,0,0.2,-0.2
2015,BOS,AL,ALE,0.8,-0.4,1.2
2015,CHC,NL,NLC,7.5,3.8,3.7
2015,CWS,AL,ALC,-10.2,-1.9,-8.3
2015,CIN,NL,NLC,-10,-7.3,-2.7
2015,CLE,AL,ALC,2.8,7.7,-4.9
2015,COL,NL,NLW,-9.8,-3.5,-6.3
2015,DET,AL,ALC,-10.7,-12.3,1.6
2015,HOU,AL,ALW,11.5,2.6,8.9
2015,KCR,AL,ALC,8.5,4.1,4.4
2015,LAA,AL,ALW,-2.5,-4.0,1.5
2015,LAD,NL,NLW,12.8,5.6,7.2
2015,MIA,NL,NLE,-5.1,-6.4,1.3
2015,MIL,NL,NLC,-11.4,-6.0,-5.4
2015,MIN,AL,ALC,-6.3,1.9,-8.2
2015,NYM,NL,NLE,7.2,7.3,-0.1
2015,NYY,AL,ALE,5.5,6.1,-0.6
2015,OAK,AL,ALW,-7.3,-5.5,-1.8
2015,PHI,NL,NLE,-16.7,-7.4,-9.3
2015,PIT,NL,NLC,8.8,5.2,3.6
2015,SDP,NL,NLW,-9.3,-7.1,-2.2
2015,SEA,AL,ALW,8.6,-0.9,9.5
2015,SFG,NL,NLW,-6.2,2.4,-8.6
2015,STL,NL,NLC,19.2,17.0,2.2
2015,TBR,AL,ALE,2.5,1.5,1
2015,TEX,AL,ALW,-0.8,0.3,-1.1
2015,TOR,AL,ALE,12.6,0.3,12.3
2015,WSH,NL,NLE,4.7,6.8,-2.1
